;CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8;CH9;CH10;CH11;CH12;CH13;CH14;CH15;CH16;CH17;CH18;CH19;CH20;CH21;CH22;CH23;CH24;CH25;CH26;CH27;CH28;CH29;CH30;CH31;CH32;CH33;CH34;CH35;CH36;CH37;CH38;CH39;CH40;CH41;CH42;CH43;CH44;CH45;CH46;CH47;CH48;CH49;CH50;CH51;CH52;CH53;CH54
CH1;;;;; ; ;;1;1; ; ; ;;;; ;1;;;;;;;1;; ; ;;;;   ;;; ;;; ;;;1;1;1;1;;;;1;1;;1;;;;
CH2;;1;;1;1;1; ;1;1;; ;1;;1;1;1;1;; ; ;1; ;1;1;1;1; ; ; ; ;1;1;;1;1; ;1;1;1;;;;;;;;;;;;;;;
CH3;;;;;;;; ;;;;; ;;1; ;;;;;;;;;; ; ;;; ;;;;;;; ;;;;1;;;;;;1;;;;;;;
CH4;;1;;1;;;;1;1;1;;;1;;;;1;;;;;;1;;;1;;;; ;;;;;;;1;1;1;1;1;1;;;;;;1;1;1;1;;;
CH5; ;;;;;   ; ;1;   ;;1;1;1;1;;;1;1;;1;1;;;1;1;1; ;   ;; ;1;   ;;;;   ;1;1;1;;;;;;;;;;1;;;;1;
CH6;1;;;;   ;; ;1; ;   ;; ;1;1;;; ;;;;;;;1;;;;   ;;; ;   ;; ;;;1;;;1;;1;1;;1;;;;;;;;;
CH7;;1;;;1;;;1;1;;;1;1;1;1;;1;1;;1;1;   ;;1;1; ; ;;1;1;1;;;1;;;1;;1;;;;;;;;;;;;;;;
CH8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CH9;   ;; ;   ;1;1; ;1;;   ;;1;;1; ;;1;; ;; ;; ;1;;1; ;   ;; ;1;;;1;;;1;;;;1;1;1;1;1;;;1;;;;;;
CH10;;;;;;1;1;1;1;1;1; ;1;;;;;1;;1;;;;1;; ;;1;;;1;;;1;;;1;1;1;;;;;1;;;;1;;;;1;;
CH11;;   ;;;;;;1;1; ;1;1; ;1;1;1;1;; ;; ;; ;;; ; ;;;1;;;;;1;;1;;;1;;;;;;;;;;;;;;1
CH12;;   ;; ;; ;   ;1;   ; ;;1;; ;;;1;;;; ;;;   ;;   ; ; ;   ;   ; ;;;   ;;; ;1;1;1;1;1;1;;;;;;;;;;;
CH13;;1; ;;1;1;;1;1;1;1;1;;1;   ;   ;1;1;1;;1;;1;1;;1;1;;;1;1;1;;1;1;1;1;;;;1;;1;;;1;1;;;;;;;
CH14;;;;;;1; ;1;1;;1;;1;1;;;1;1; ;1;1;1; ;1;;; ; ;   ;1;;;;;;;1;1;1;1;;;;;;;1;;;;1;;;
CH15;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;;;;;;;;;1;1;;;;;;;
CH16;;;;;;;; ;;; ;;   ;;   ;1;;;;;;;;;   ;;;;;;;;;;   ;;   ;1;1;;;;;;;;;;;;;;;
CH17; ;1;1;1; ;1; ;1;1;1; ;1;1;1;1;1;1;1; ; ;1; ;1;1; ;1; ;1; ; ;1; ; ; ;1; ;1;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
CH18;; ;;; ;;;1; ; ;; ;;;;; ;;;;1; ; ;;; ;;;; ;;;;;   ;;1;1;1;1;;;;1;;;;;;;;1;;
CH19;;1;;;;;;1;1;1;   ;1;;1;1;;1;;   ;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
CH20;;1; ;;;; ;1;1;1;   ;1;;;1;1;   ; ; ;; ;;;1;;1; ;   ;;1;;;;;1;1;1;;;1;1;;;;;;;;;;;;;
CH21;;   ; ;;; ;; ;   ;;   ; ;;; ;;; ; ; ;;   ; ;   ;;; ; ;;;;;;; ; ; ;1;1;;;;;;;;;;;;;;;
CH22;;;;;;; ; ;;;; ;;;;;1;;;;   ;;; ;; ; ;;;;;;;;; ;;;;;;;1;;;;;;;;;;;
CH23;; ; ; ;;;; ; ;; ; ; ;; ; ; ;; ;; ;;;; ; ;;;; ; ;; ;; ; ; ;;;;;;;;;;;;;;;;;
CH24;;;;;;; ;1; ;;;1;; ;;;1;;;;1; ;;1; ; ; ;; ;; ;; ; ;;;;;;1;;;;1;1;;;;;;;;;
CH25;;; ; ;;;;;1;;;;1;1; ;1;1;;; ;1; ;1;1;1;1;;;;;1;; ;;;1;1;;;1;;;;;;1;;;;;;;;
CH26;1;   ;   ; ;;1; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1; ;1; ;   ;1;1; ;   ;1; ;1;   ; ;;   ;1;1;1;1;1;;1;1;;1;1;;;;;;;
CH27; ; ;; ;1; ;1;1;; ; ;;;1; ;;1;; ;;1;; ;;;;   ; ; ;1; ; ;;;; ;;1;1;1;1;;;;;;;;;;;;;
CH28;;1;;;1;1;;1;1;   ;1;1;1;;1;;1;1;1;; ;;;1;;1;   ;;;1;1;;; ;;1;1;;;1;;;;;;;;1;;;;1;;
CH29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CH30;;1;;   ;;;   ;1;1;   ;1;1;1; ;1; ;1;1; ;1;1;;   ; ;;1;; ;   ;1;   ;;;; ;1;1;1;1;1;1;;;;;;1;;1;1;1;;;
CH31;; ;;;;1;;1;1;   ;;1;;1;;;1;;;; ;; ;;;1; ;;;;;1;;   ;;;1;;1;;;1;;1;;;;;;;;;;
CH32; ;;;;   ;1;; ;1;   ;; ;;1;;;;;;;;;;1;1;;;   ;;; ;1;; ;;;;1;1;;1;1;;;;;;;1;1;;;1;
CH33;;;;;;;;1;;;;;;; ;;1;;;;;;;; ; ;1;;; ;;;;;;; ;;;;;;;;;;;;;;;;;
CH34;;;;;;   ;   ;1;1;1;1; ;1;1;;;1;1;1;1;1;;1;1;;; ;1;1;1;1;;;;;1;1;1;1;;1;;;1;;;;1;;;;;;
CH35;;1; ;;; ;;1;1;;1;1;   ;1;1; ;1;;;;1;;   ;;;1;1;;;1;;;; ;1;1;1;;1;;1;;;;;;;;;;;;;1
CH36; ; ;   ;; ;;; ;1; ; ;1;   ;;   ; ; ; ; ;; ; ;   ;;;1;;;;1;;;;;   ;;   ;;;;1;;;;;;;;;;;;;
CH37; ;   ;   ;;   ; ; ;1;   ;   ;   ;1;   ;1;   ;1;1;   ;   ; ;1;;   ; ;   ;   ;1;   ;   ;   ;   ; ;; ;1;1;1;;;1;1;;1;;1;1;1;1;;;;1;;
CH38;;;;;;;;;;;;;;;;;;;;;1;;;1;1;;;;;;;;;;;;;1;1;1;1;1;1;;;;1;;;;;;;
CH39;;;;;;1;;;;;;1;;;;;1;;;1;;;;;;1;;;;;;;;;;;;;1;;1;;;;;;;;;;1;;;
CH40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CH41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CH42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CH43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CH44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CH45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CH46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CH47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CH48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CH49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CH50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CH51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CH52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CH53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CH54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
