"";"DEZA";"AGRO";"AIR";"CAR";"ACT";"CONSULT";"CORP";"MITTE";"ECON";"ENRGY";"ESPEC";"DETEC";"EPP";"SFOE";"FOEN";"GOV";"FC";"FINMA";"FDF";"FIN";"FDP";"GOLD";"GPS";"GLP";"GREEN";"HEV";"INSUR";"JUDGE";"MeteoSuisse";"NGO";"PARL";"ACADEMIA";"SECO";"SPS";"SPP";"CLEANTECH";"TOUR";"SGV";"TRAF";"WWFS";"WEF"
"DEZA";0;0;0,0909090909090909;0;0,0416666666666667;0;0,0606060606060606;0;0;0;0;0;0;0,125;0;0,032258064516129;0;0;0;0,0128205128205128;0,0416666666666667;0;0;0;0;0,5;0,0588235294117647;0;0,666666666666667;0,0769230769230769;0,08;0,0722222222222222;0;0,0161290322580645;0,02;0;0;0,0588235294117647;0;0;0
"AGRO";0;0;0,0526315789473684;0,157894736842105;0,0769230769230769;0,277777777777778;0,307692307692308;0,0526315789473684;0,0952380952380952;0,0454545454545455;0,05;0;0;0;0,233333333333333;0,202898550724638;0;0,4375;0;0,370786516853933;0,0909090909090909;0,0476190476190476;0,18;0,245283018867925;0,0952380952380952;0;0,307692307692308;0;0,142857142857143;0,145833333333333;0;0,317757009345794;0;0,117647058823529;0,0467289719626168;0,133333333333333;0;0,04;0;0,285714285714286;0,0769230769230769
"AIR";0,0909090909090909;0,0526315789473684;0;0;0,0506329113924051;0,05;0,195121951219512;0,157894736842105;0;0,0454545454545455;0,05;0;0;0;0;0,0285714285714286;0;0;0;0,129411764705882;0,160493827160494;0,0952380952380952;0,0431654676258993;0,0416666666666667;0,0952380952380952;0;0,125;0;0,285714285714286;0,0869565217391304;0,105263157894737;0,10752688172043;0;0,0285714285714286;0,260504201680672;0,0625;0;0,304347826086957;0;0;0,0769230769230769
"CAR";0;0,157894736842105;0;0;0,116883116883117;0;0,05;0,0526315789473684;0;0,142857142857143;0;0;0;0,1875;0,129032258064516;0,0285714285714286;0;0;0;0,0588235294117647;0,0769230769230769;0,0952380952380952;0,145985401459854;0,173913043478261;0;0;0,04;0;0;0,0212765957446809;0;0,152173913043478;0;0,0434782608695652;0,348623853211009;0,0625;0,0909090909090909;0,16;0;0,0434782608695652;0
"ACT";0,0416666666666667;0,0769230769230769;0,0506329113924051;0,116883116883117;0;0,269230769230769;0,576923076923077;0,148936170212766;0;0,186046511627907;0,0886075949367089;0;0,0136986301369863;0,0526315789473684;0,170454545454545;0,639269406392694;0,131578947368421;0,0394736842105263;0,027027027027027;0,481012658227848;0,292857142857143;0,0740740740740741;0,888888888888889;0,25;0,622047244094488;0,0547945205479452;0,373626373626374;0,23943661971831;0,1625;0,764331210191083;0,305970149253731;0,765957446808511;0,0140845070422535;0,672413793103448;0,559440559440559;0,0810810810810811;0,0138888888888889;0,282828282828283;0,0135135135135135;0,238095238095238;0,0273972602739726
"CONSULT";0;0,277777777777778;0,05;0;0,269230769230769;0;0,0238095238095238;0,105263157894737;0,173913043478261;0;0;0;0;0;0,0303030303030303;0,0735294117647059;0;0,333333333333333;0,0714285714285714;0,305882352941176;0,153846153846154;0,0909090909090909;0,13768115942029;0,0204081632653061;0,181818181818182;0;0,115384615384615;0,0909090909090909;0,0666666666666667;0,222222222222222;0,0344827586206897;0,178378378378378;0;0,101449275362319;0,102803738317757;0,117647058823529;0;0;0;0,227272727272727;0,153846153846154
"CORP";0,0606060606060606;0,307692307692308;0,195121951219512;0,05;0,576923076923077;0,0238095238095238;0;0,0677966101694915;0,0714285714285714;0,511627906976744;0,219512195121951;0;0;0,138888888888889;0,0980392156862745;0,434343434343434;0;0;0,162162162162162;0,582278481012658;0,145833333333333;0,0476190476190476;0,44311377245509;0,153846153846154;0,468085106382979;0,147058823529412;0,431372549019608;0,03125;0;0,393939393939394;0,180722891566265;0,398148148148148;0;0,376344086021505;0,2421875;0,342857142857143;0;0,133333333333333;0;0,0681818181818182;0,0285714285714286
"MITTE";0;0,0526315789473684;0,157894736842105;0,0526315789473684;0,148936170212766;0,105263157894737;0,0677966101694915;0;0,205128205128205;0,0476190476190476;0,189189189189189;0;0,133333333333333;0,114285714285714;0,102040816326531;0,142857142857143;0;0,0285714285714286;0;0,087378640776699;0,585858585858586;0,075;0,390243902439024;0,491803278688525;0,05;0;0,0681818181818182;0;0;0,112903225806452;0,63953488372093;0,177664974619289;0,0666666666666667;0,43956043956044;0,508333333333333;0,0571428571428571;0,0645161290322581;0,275;0,0625;0,0731707317073171;0
"ECON";0;0,0952380952380952;0;0;0;0,173913043478261;0,0714285714285714;0,205128205128205;0;0;0,0454545454545455;0,142857142857143;0;0;0,0606060606060606;0,072463768115942;0;0,117647058823529;0;0,0786516853932584;0,075;0,0909090909090909;0,0428571428571429;0,0833333333333333;0;0;0,037037037037037;0;0;0,0408163265306122;0,11864406779661;0,0904255319148936;0;0,028169014084507;0,0630630630630631;0,111111111111111;0;0,115384615384615;0;0,08;0
"ENRGY";0;0,0454545454545455;0,0454545454545455;0,142857142857143;0,186046511627907;0;0,511627906976744;0,0476190476190476;0;0;0,0909090909090909;0;0;0,210526315789474;0;0,175675675675676;0;0;0,125;0,172413793103448;0,148148148148148;0;0,206666666666667;0,122448979591837;0,130434782608696;0;0,192307692307692;0;0;0,333333333333333;0;0,137055837563452;0;0,194805194805195;0,431818181818182;0,352941176470588;0;0,258064516129032;0;0,0384615384615385;0
"ESPEC";0;0,05;0,05;0;0,0886075949367089;0;0,219512195121951;0,189189189189189;0,0454545454545455;0,0909090909090909;0;0;0;0;0,0303030303030303;0,117647058823529;0;0;0;0,103448275862069;0,172839506172839;0,0909090909090909;0,24113475177305;0,2;0,2;0;0,0769230769230769;0;0;0,0638297872340425;0,533333333333333;0,117647058823529;0;0,314285714285714;0,0275229357798165;0,125;0,0833333333333333;0,0769230769230769;0;0;0
"DETEC";0;0;0;0;0;0;0;0;0,142857142857143;0;0;0;0;0;0,0384615384615385;0,0634920634920635;0;0;0,142857142857143;0;0;0,0666666666666667;0;0,0476190476190476;0;0;0;0;0;0;0,0192307692307692;0,00546448087431694;0;0,015625;0;0;0;0;0,142857142857143;0;0
"EPP";0;0;0;0;0,0136986301369863;0;0;0,133333333333333;0;0;0;0;0;0;0;0,0483870967741935;0;0;0;0,0253164556962025;0,166666666666667;0;0,082089552238806;0,179487179487179;0;0;0;0;0;0;0,117647058823529;0,0220994475138122;0,333333333333333;0,0793650793650794;0,0099009900990099;0;0;0,117647058823529;0;0,0625;0
"SFOE";0,125;0;0;0,1875;0,0526315789473684;0;0,138888888888889;0,114285714285714;0;0,210526315789474;0;0;0;0;0,0344827586206897;0,0298507462686567;0;0;0;0,0493827160493827;0,0657894736842105;0,3;0,197278911564626;0,234042553191489;0;0,222222222222222;0,0909090909090909;0;0;0,162790697674419;0,0727272727272727;0,0869565217391304;0;0,149253731343284;0;0,166666666666667;0;0;0;0;0
"FOEN";0;0,233333333333333;0;0,129032258064516;0,170454545454545;0,0303030303030303;0,0980392156862745;0,102040816326531;0,0606060606060606;0;0,0303030303030303;0,0384615384615385;0;0,0344827586206897;0;0,209876543209877;0,0833333333333333;0,148148148148148;0;0,228260869565217;0,0769230769230769;0,161290322580645;0,26797385620915;0,137931034482759;0,0294117647058824;0,04;0,135135135135135;0;0,037037037037037;0,135593220338983;0,0704225352112676;0,365384615384615;0;0,1625;0,0420168067226891;0,142857142857143;0,125;0,0526315789473684;0;0,181818181818182;0,0769230769230769
"GOV";0,032258064516129;0,202898550724638;0,0285714285714286;0,0285714285714286;0,639269406392694;0,0735294117647059;0,434343434343434;0,142857142857143;0,072463768115942;0,175675675675676;0,117647058823529;0,0634920634920635;0,0483870967741935;0,0298507462686567;0,209876543209877;0;0,032258064516129;0,0454545454545455;0,09375;0,402684563758389;0,41025641025641;0,130434782608696;0,620967741935484;0,467391304347826;0,0416666666666667;0;0,0945945945945946;0;0,134328358208955;0,39;0,5390625;0,621993127147766;0,0163934426229508;0,421487603305785;0,0967741935483871;0,0757575757575758;0,0161290322580645;0,169014084507042;0,046875;0,140845070422535;0,0952380952380952
"FC";0;0;0;0;0,131578947368421;0;0;0;0;0;0;0;0;0;0,0833333333333333;0,032258064516129;0;0;0;0,0256410256410256;0,0273972602739726;0;0,114285714285714;0,05;0;0;0;0;0;0;0;0,0110497237569061;0;0,09375;0;0;0;0;0;0;0
"FINMA";0;0,4375;0;0;0,0394736842105263;0,333333333333333;0;0,0285714285714286;0,117647058823529;0;0;0;0;0;0,148148148148148;0,0454545454545455;0;0;0;0,180722891566265;0,0526315789473684;0;0,0072992700729927;0;0;0;0,36;0;0,3;0,191489361702128;0,0185185185185185;0,122448979591837;0;0,0151515151515152;0,0288461538461538;0,0833333333333333;0;0;0;0,222222222222222;0
"FDF";0;0;0;0;0,027027027027027;0,0714285714285714;0,162162162162162;0;0;0,125;0;0,142857142857143;0;0;0;0,09375;0;0;0;0,2125;0,0405405405405405;0;0,00740740740740741;0,0238095238095238;0;0;0,105263157894737;0;0;0,0487804878048781;0,0192307692307692;0,0109289617486339;0;0,03125;0,0196078431372549;0;0;0;0;0,117647058823529;0
"FIN";0,0128205128205128;0,370786516853933;0,129411764705882;0,0588235294117647;0,481012658227848;0,305882352941176;0,582278481012658;0,087378640776699;0,0786516853932584;0,172413793103448;0,103448275862069;0;0,0253164556962025;0,0493827160493827;0,228260869565217;0,402684563758389;0,0256410256410256;0,180722891566265;0,2125;0;0,330935251798561;0,0804597701149425;0,48868778280543;0,330508474576271;0,221052631578947;0,0384615384615385;0,4;0;0,037037037037037;0,452380952380952;0,191666666666667;0,638036809815951;0;0,463087248322148;0,181818181818182;0,20253164556962;0,0128205128205128;0,0555555555555556;0;0,478723404255319;0,0769230769230769
"FDP";0,0416666666666667;0,0909090909090909;0,160493827160494;0,0769230769230769;0,292857142857143;0,153846153846154;0,145833333333333;0,585858585858586;0,075;0,148148148148148;0,172839506172839;0;0,166666666666667;0,0657894736842105;0,0769230769230769;0,41025641025641;0,0273972602739726;0,0526315789473684;0,0405405405405405;0,330935251798561;0;0,075;0,658940397350993;0,595419847328244;0,0240963855421687;0,027027027027027;0,0952380952380952;0;0,115384615384615;0,203883495145631;0,765258215962441;0,463709677419355;0,138888888888889;0,645833333333333;0,742222222222222;0,0394736842105263;0,0972222222222222;0,345679012345679;0,0547945205479452;0,1;0,0133333333333333
"GOLD";0;0,0476190476190476;0,0952380952380952;0,0952380952380952;0,0740740740740741;0,0909090909090909;0,0476190476190476;0,075;0,0909090909090909;0;0,0909090909090909;0,0666666666666667;0;0,3;0,161290322580645;0,130434782608696;0;0;0;0,0804597701149425;0,075;0;0,201388888888889;0,137254901960784;0;0,0714285714285714;0;0;0;0,0625;0;0,142105263157895;0;0,112676056338028;0;0;0;0,037037037037037;0;0,08;0,214285714285714
"GPS";0;0,18;0,0431654676258993;0,145985401459854;0,888888888888889;0,13768115942029;0,44311377245509;0,390243902439024;0,0428571428571429;0,206666666666667;0,24113475177305;0;0,082089552238806;0,197278911564626;0,26797385620915;0,620967741935484;0,114285714285714;0,0072992700729927;0,00740740740740741;0,48868778280543;0,658940397350993;0,201388888888889;0;0,7;0,372093023255814;0,0298507462686567;0,10958904109589;0,0909090909090909;0;0,549019607843137;0,63265306122449;0,832380952380952;0,0833333333333333;0,831746031746032;0,363265306122449;0,166666666666667;0,0681818181818182;0,164383561643836;0,0223880597014925;0,156028368794326;0,0606060606060606
"GLP";0;0,245283018867925;0,0416666666666667;0,173913043478261;0,25;0,0204081632653061;0,153846153846154;0,491803278688525;0,0833333333333333;0,122448979591837;0,2;0,0476190476190476;0,179487179487179;0,234042553191489;0,137931034482759;0,467391304347826;0,05;0;0,0238095238095238;0,330508474576271;0,595419847328244;0,137254901960784;0,7;0;0,0408163265306122;0;0;0;0;0,217391304347826;0,681034482758621;0,504201680672269;0,102564102564103;0,654867256637168;0,137404580152672;0,0454545454545455;0,075;0,18;0,0731707317073171;0,16;0,0238095238095238
"GREEN";0;0,0952380952380952;0,0952380952380952;0;0,622047244094488;0,181818181818182;0,468085106382979;0,05;0;0,130434782608696;0,2;0;0;0;0,0294117647058824;0,0416666666666667;0;0;0;0,221052631578947;0,0240963855421687;0;0,372093023255814;0,0408163265306122;0;0;0,259259259259259;0,333333333333333;0;0,452830188679245;0,11864406779661;0,217391304347826;0;0,346666666666667;0,00909090909090909;0,176470588235294;0;0;0,0666666666666667;0,0833333333333333;0
"HEV";0,5;0;0;0;0,0547945205479452;0;0,147058823529412;0;0;0;0;0;0;0,222222222222222;0,04;0;0;0;0;0,0384615384615385;0,027027027027027;0,0714285714285714;0,0298507462686567;0;0;0;0;0;0;0,025;0,148148148148148;0,0386740331491713;0;0,0483870967741935;0;0;0;0;0;0,125;0
"INSUR";0,0588235294117647;0,307692307692308;0,125;0,04;0,373626373626374;0,115384615384615;0,431372549019608;0,0681818181818182;0,037037037037037;0,192307692307692;0,0769230769230769;0;0;0,0909090909090909;0,135135135135135;0,0945945945945946;0;0,36;0,105263157894737;0,4;0,0952380952380952;0;0,10958904109589;0;0,259259259259259;0;0;0;0,368421052631579;0,357142857142857;0;0,240196078431373;0;0,0921052631578947;0,302752293577982;0,25;0;0,206896551724138;0;0,214285714285714;0
"JUDGE";0;0;0;0;0,23943661971831;0,0909090909090909;0,03125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0909090909090909;0;0,333333333333333;0;0;0;0;0,105263157894737;0;0,0388888888888889;0;0,0655737704918033;0;0;0;0;0;0;0
"MeteoSuisse";0,666666666666667;0,142857142857143;0,285714285714286;0;0,1625;0,0666666666666667;0;0;0;0;0;0;0;0;0,037037037037037;0,134328358208955;0;0,3;0;0,037037037037037;0,115384615384615;0;0;0;0;0;0,368421052631579;0;0;0,319148936170213;0;0,25462962962963;0;0;0,0857142857142857;0;0;0,2;0;0,0555555555555556;0
"NGO";0,0769230769230769;0,145833333333333;0,0869565217391304;0,0212765957446809;0,764331210191083;0,222222222222222;0,393939393939394;0,112903225806452;0,0408163265306122;0,333333333333333;0,0638297872340425;0;0;0,162790697674419;0,135593220338983;0,39;0;0,191489361702128;0,0487804878048781;0,452380952380952;0,203883495145631;0,0625;0,549019607843137;0,217391304347826;0,452830188679245;0,025;0,357142857142857;0,105263157894737;0,319148936170213;0;0,0833333333333333;0,51865671641791;0;0,465346534653465;0,104477611940299;0,166666666666667;0;0,0769230769230769;0,05;0,297872340425532;0,024390243902439
"PARL";0,08;0;0,105263157894737;0;0,305970149253731;0,0344827586206897;0,180722891566265;0,63953488372093;0,11864406779661;0;0,533333333333333;0,0192307692307692;0,117647058823529;0,0727272727272727;0,0704225352112676;0,5390625;0;0,0185185185185185;0,0192307692307692;0,191666666666667;0,765258215962441;0;0,63265306122449;0,681034482758621;0,11864406779661;0,148148148148148;0;0;0;0,0833333333333333;0;0,34136546184739;0,122448979591837;0,767326732673267;0,197183098591549;0;0,24;0,129032258064516;0,0588235294117647;0,0655737704918033;0
"ACADEMIA";0,0722222222222222;0,317757009345794;0,10752688172043;0,152173913043478;0,765957446808511;0,178378378378378;0,398148148148148;0,177664974619289;0,0904255319148936;0,137055837563452;0,117647058823529;0,00546448087431694;0,0220994475138122;0,0869565217391304;0,365384615384615;0,621993127147766;0,0110497237569061;0,122448979591837;0,0109289617486339;0,638036809815951;0,463709677419355;0,142105263157895;0,832380952380952;0,504201680672269;0,217391304347826;0,0386740331491713;0,240196078431373;0,0388888888888889;0,25462962962963;0,51865671641791;0,34136546184739;0;0,0111111111111111;0,537593984962406;0,311594202898551;0,144444444444444;0,0444444444444444;0,147368421052632;0,010989010989011;0,221052631578947;0,0828729281767956
"SECO";0;0;0;0;0,0140845070422535;0;0;0,0666666666666667;0;0;0;0;0,333333333333333;0;0;0,0163934426229508;0;0;0;0;0,138888888888889;0;0,0833333333333333;0,102564102564103;0;0;0;0;0;0;0,122448979591837;0,0111111111111111;0;0,0819672131147541;0,0101010101010101;0;0;0,0625;0;0;0
"SPS";0,0161290322580645;0,117647058823529;0,0285714285714286;0,0434782608695652;0,672413793103448;0,101449275362319;0,376344086021505;0,43956043956044;0,028169014084507;0,194805194805195;0,314285714285714;0,015625;0,0793650793650794;0,149253731343284;0,1625;0,421487603305785;0,09375;0,0151515151515152;0,03125;0,463087248322148;0,645833333333333;0,112676056338028;0,831746031746032;0,654867256637168;0,346666666666667;0,0483870967741935;0,0921052631578947;0,0655737704918033;0;0,465346534653465;0,767326732673267;0,537593984962406;0,0819672131147541;0;0,0980392156862745;0,0923076923076923;0,129032258064516;0,106666666666667;0,0317460317460317;0,126760563380282;0,0806451612903226
"SPP";0,02;0,0467289719626168;0,260504201680672;0,348623853211009;0,559440559440559;0,102803738317757;0,2421875;0,508333333333333;0,0630630630630631;0,431818181818182;0,0275229357798165;0;0,0099009900990099;0;0,0420168067226891;0,0967741935483871;0;0,0288461538461538;0,0196078431372549;0,181818181818182;0,742222222222222;0;0,363265306122449;0,137404580152672;0,00909090909090909;0;0,302752293577982;0;0,0857142857142857;0,104477611940299;0,197183098591549;0,311594202898551;0,0101010101010101;0,0980392156862745;0;0,00952380952380952;0;0,674157303370786;0,0495049504950495;0,018018018018018;0
"CLEANTECH";0;0,133333333333333;0,0625;0,0625;0,0810810810810811;0,117647058823529;0,342857142857143;0,0571428571428571;0,111111111111111;0,352941176470588;0,125;0;0;0,166666666666667;0,142857142857143;0,0757575757575758;0;0,0833333333333333;0;0,20253164556962;0,0394736842105263;0;0,166666666666667;0,0454545454545455;0,176470588235294;0;0,25;0;0;0,166666666666667;0;0,144444444444444;0;0,0923076923076923;0,00952380952380952;0;0,125;0;0;0,05;0
"TOUR";0;0;0;0,0909090909090909;0,0138888888888889;0;0;0,0645161290322581;0;0;0,0833333333333333;0;0;0;0,125;0,0161290322580645;0;0;0;0,0128205128205128;0,0972222222222222;0;0,0681818181818182;0,075;0;0;0;0;0;0;0,24;0,0444444444444444;0;0,129032258064516;0;0,125;0;0;0;0;0
"SGV";0,0588235294117647;0,04;0,304347826086957;0,16;0,282828282828283;0;0,133333333333333;0,275;0,115384615384615;0,258064516129032;0,0769230769230769;0;0,117647058823529;0;0,0526315789473684;0,169014084507042;0;0;0;0,0555555555555556;0,345679012345679;0,037037037037037;0,164383561643836;0,18;0;0;0,206896551724138;0;0,2;0,0769230769230769;0,129032258064516;0,147368421052632;0,0625;0,106666666666667;0,674157303370786;0;0;0;0,0526315789473684;0,0344827586206897;0,0526315789473684
"TRAF";0;0;0;0;0,0135135135135135;0;0;0,0625;0;0;0;0,142857142857143;0;0;0;0,046875;0;0;0;0;0,0547945205479452;0;0,0223880597014925;0,0731707317073171;0,0666666666666667;0;0;0;0;0,05;0,0588235294117647;0,010989010989011;0;0,0317460317460317;0,0495049504950495;0;0;0,0526315789473684;0;0,0588235294117647;0
"WWFS";0;0,285714285714286;0;0,0434782608695652;0,238095238095238;0,227272727272727;0,0681818181818182;0,0731707317073171;0,08;0,0384615384615385;0;0;0,0625;0;0,181818181818182;0,140845070422535;0;0,222222222222222;0,117647058823529;0,478723404255319;0,1;0,08;0,156028368794326;0,16;0,0833333333333333;0,125;0,214285714285714;0;0,0555555555555556;0,297872340425532;0,0655737704918033;0,221052631578947;0;0,126760563380282;0,018018018018018;0,05;0;0,0344827586206897;0,0588235294117647;0;0
"WEF";0;0,0769230769230769;0,0769230769230769;0;0,0273972602739726;0,153846153846154;0,0285714285714286;0;0;0;0;0;0;0;0,0769230769230769;0,0952380952380952;0;0;0;0,0769230769230769;0,0133333333333333;0,214285714285714;0,0606060606060606;0,0238095238095238;0;0;0;0;0;0,024390243902439;0;0,0828729281767956;0;0,0806451612903226;0;0;0;0,0526315789473684;0;0;0
